run_id,started_at,completed_at,status,trigger,operation_count,model_budget_limit,model_budget_used,commit_sha,summary
local-20260726-research-09,2026-07-26T18:50:24Z,2026-07-26T18:58:39Z,degraded,local-research,5,5,0,,Daily run degraded; 5 agent operations; 0 pending-order dispositions.
local-20260726-cron-02,2026-07-26T19:02:00Z,2026-07-26T19:15:41Z,degraded,local,5,5,0,,Daily run degraded; 5 agent operations; 0 pending-order dispositions.
local-20260727T092114Z,2026-07-27T09:21:34Z,2026-07-27T09:23:05Z,succeeded,local,0,5,0,,Daily run succeeded; 0 agent operations; 0 pending-order dispositions.
gha-30270310504-1,2026-07-27T13:27:48Z,2026-07-27T13:35:47Z,succeeded,workflow_dispatch,1,5,1,,Daily run succeeded; 1 agent operations; 0 pending-order dispositions.
gha-30273371484-1,2026-07-27T14:06:24Z,2026-07-27T14:12:11Z,degraded,workflow_dispatch,1,5,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
gha-30274861908-1,2026-07-27T14:24:43Z,2026-07-27T14:30:26Z,degraded,workflow_dispatch,1,5,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
gha-30280283355-1,2026-07-27T15:31:12Z,2026-07-27T15:39:59Z,degraded,workflow_dispatch,1,5,1,,Daily run degraded; 1 agent operations; 0 pending-order dispositions.
gha-30310927695-1,2026-07-27T22:30:44Z,2026-07-27T23:14:02Z,degraded,schedule,5,5,5,,Daily run degraded; 5 agent operations; 0 pending-order dispositions.
local-20260727-daily-all-02,2026-07-27T21:11:16Z,2026-07-27T21:20:31Z,succeeded,local,1,5,1,,Daily run succeeded; 1 agent operations; 0 pending-order dispositions.
local-20260727-daily-all-04,2026-07-27T21:39:36Z,2026-07-27T21:40:43Z,succeeded,local,0,5,0,,Daily run succeeded; 0 agent operations; 0 pending-order dispositions.
local-20260727-daily-all-05,2026-07-27T21:41:05Z,2026-07-27T22:01:17Z,succeeded,local,5,5,5,,Daily run succeeded; 5 agent operations; 0 pending-order dispositions.
local-20260727-daily-all-06,2026-07-27T22:01:33Z,2026-07-27T22:49:01Z,succeeded,local,5,5,5,,Daily run succeeded; 5 agent operations; 0 pending-order dispositions.
local-20260727-daily-all-07,2026-07-27T22:49:25Z,2026-07-27T23:35:28Z,succeeded,local,5,5,5,,Daily run succeeded; 5 agent operations; 0 pending-order dispositions.
